Event,Round,Result,OpponentELO,r2,previous
chess.com Speed 3m+1spm 2018,1.17,0.5,2801,1.17,0.5
chess.com Speed 3m+1spm 2018,1.18,1.0,2801,1.18,0.5
chess.com Speed 3m+1spm 2018,1.19,0.0,2801,1.19,1.0
chess.com Speed 3m+1spm 2018,1.20,0.0,2801,1.2,0.0
chess.com Speed 3m+1spm 2018,1.21,0.0,2801,1.21,0.0
chess.com Speed 3m+1spm 2018,2.10,0.5,2767,2.1,0.0
chess.com Speed 3m+1spm 2018,2.11,1.0,2767,2.11,0.5
chess.com Speed 3m+1spm 2018,2.12,0.0,2767,2.12,1.0
chess.com Speed 3m+1spm 2018,2.13,0.5,2767,2.13,0.0
chess.com Speed 3m+1spm 2018,2.14,0.0,2767,2.14,0.5
chess.com Speed 3m+1spm 2018,2.15,0.5,2767,2.15,0.0
chess.com Speed 3m+1spm 2018,2.16,0.0,2767,2.16,0.5
chess.com Speed 3m+1spm 2018,2.17,0.0,2767,2.17,0.0
chess.com Speed 3m+1spm 2018,2.18,0.0,2767,2.18,0.0
chess.com Speed 3m+1spm 2018,2.9,0.5,2767,2.9,0.0
chess.com Speed 5m+1spm 2018,1.2,1.0,2801,1.2,1.0
chess.com Speed 5m+1spm 2018,1.3,0.5,2801,1.3,1.0
chess.com Speed 5m+1spm 2018,1.4,0.5,2801,1.4,0.5
chess.com Speed 5m+1spm 2018,1.5,1.0,2801,1.5,0.5
chess.com Speed 5m+1spm 2018,1.6,1.0,2801,1.6,1.0
chess.com Speed 5m+1spm 2018,1.7,0.5,2801,1.7,1.0
chess.com Speed 5m+1spm 2018,1.8,0.0,2801,1.8,0.5
chess.com Speed 5m+1spm 2018,1.9,1.0,2801,1.9,0.0
chess.com Speed 5m+1spm 2018,2.1,0.5,2767,2.1,1.0
chess.com Speed 5m+1spm 2018,2.2,0.5,2767,2.2,0.5
chess.com Speed 5m+1spm 2018,2.3,1.0,2767,2.3,0.5
chess.com Speed 5m+1spm 2018,2.4,0.5,2767,2.4,1.0
chess.com Speed 5m+1spm 2018,2.5,0.0,2767,2.5,0.5
chess.com Speed 5m+1spm 2018,2.6,0.0,2767,2.6,0.0
chess.com Speed 5m+1spm 2018,2.7,1.0,2767,2.7,0.0
chess.com Speed 5m+1spm 2018,2.8,0.0,2767,2.8,1.0
